3210.06,0.514,1.766,0.015,1.1123456416028448
3210.09,0.53,1.868,0.018,1.160922930680916
3210.12,0.509,1.848,0.019,1.4566814654722247
3210.2,0.545,1.542,0.016,1.4970339246413173
3210.21,0.589,1.571,0.017,1.477197065192101
3210.23,0.555,1.604,0.016,1.3962786407906818
3210.27,0.577,1.549,0.019,1.0496759634101895
3210.29,0.53,1.71,0.016,1.400361472910546
3210.3,0.579,1.686,0.018,1.3543941305239304
3210.34,0.535,1.672,0.016,1.2992409976765007
3210.42,0.566,1.887,0.016,1.4358958206530756
3210.45,0.535,1.674,0.016,1.4514280782233435
3210.51,0.585,1.647,0.015,1.0826250147694498
3210.56,0.507,1.647,0.017,1.282477372688359
3210.62,0.579,1.785,0.016,1.045110865002267
3210.75,0.587,1.567,0.016,1.2384412742714563
3210.76,0.579,1.686,0.018,1.4413364318120063
3210.78,0.546,1.972,0.015,1.3526099038335193
3210.8,0.502,1.613,0.015,1.3401214172437055
3210.86,0.505,1.799,0.016,1.038647571156466
3210.86,0.531,1.585,0.017,1.415540599522229
3210.87,0.552,1.778,0.016,1.1596254566436874
3210.88,0.583,1.933,0.019,1.0291104561667395
3210.88,0.538,1.575,0.019,1.4243044374473048
3210.94,0.55,1.611,0.017,1.2481529010630614
3210.94,0.582,1.599,0.018,1.0766433562572648
3211.05,0.588,1.503,0.015,1.297637092661903
3211.08,0.536,1.617,0.019,1.447737527024113
3211.09,0.582,1.53,0.015,1.2221640656730974
3211.11,0.561,1.634,0.017,1.0254321141830343
3211.12,0.566,1.987,0.015,1.268458559071464
3211.16,0.577,1.824,0.018,1.0776082231472102
3211.2,0.586,1.872,0.017,1.185081271763581
3211.21,0.511,1.528,0.019,1.3629189524514345
3211.22,0.58,1.842,0.019,1.2613422598145119
3211.3,0.593,1.888,0.016,1.3910441429814009
3211.34,0.516,1.861,0.015,1.2077322833518063
3211.34,0.594,1.784,0.017,1.2692920473347273
3211.36,0.509,1.643,0.019,1.3067557981198565
3211.37,0.5,1.802,0.018,1.2405828993223773
3211.38,0.587,1.714,0.017,1.4276746549034476
3211.4,0.507,1.966,0.019,1.1058788564065267
3211.47,0.537,1.566,0.019,1.2363928346297164
3211.47,0.561,1.655,0.015,1.065236506393955
3211.55,0.542,1.778,0.019,1.1678389438580044
